Time: 2021-12-31 01:05, Log: waterLV:402
Time: 2022-01-01 17:25, Log: pumped
Time: 2022-01-01 17:30, Log: waterLV:702
Time: 2022-01-01 17:30, Log: pumped
Time: 2022-01-01 17:35, Log: waterLV:692
Time: 2022-01-01 17:35, Log: pumped
Time: 2022-01-01 17:40, Log: waterLV:721
Time: 2022-01-01 17:40, Log: pumped
Time: 2022-01-01 17:45, Log: waterLV:702
Time: 2022-01-01 17:45, Log: pumped
Time: 2022-01-01 17:50, Log: waterLV:705
Time: 2022-01-01 17:50, Log: pumped
Time: 2022-01-01 17:55, Log: waterLV:657
Time: 2022-01-01 17:55, Log: pumped
Time: 2022-01-01 18:00, Log: waterLV:657
Time: 2022-01-01 18:00, Log: pumped
Time: 2022-01-01 18:05, Log: waterLV:657
Time: 2022-01-01 18:05, Log: pumped
Time: 2022-01-01 18:10, Log: waterLV:658
Time: 2022-01-01 18:10, Log: pumped
Time: 2022-01-01 18:15, Log: waterLV:658
Time: 2022-01-01 18:15, Log: pumped
Time: 2022-01-01 18:20, Log: waterLV:658
Time: 2022-01-01 18:20, Log: pumped
Time: 2022-01-01 18:25, Log: waterLV:658
Time: 2022-01-01 18:25, Log: pumped
Time: 2022-01-01 18:30, Log: waterLV:660
Time: 2022-01-01 18:30, Log: pumped
Time: 2022-01-01 18:35, Log: waterLV:658
Time: 2022-01-01 18:35, Log: pumped
Time: 2022-01-01 18:40, Log: waterLV:660
Time: 2022-01-01 18:40, Log: pumped
Time: 2022-01-01 18:45, Log: waterLV:663
Time: 2022-01-01 18:45, Log: pumped
Time: 2022-01-01 18:50, Log: waterLV:664
Time: 2022-01-01 18:50, Log: pumped
Time: 2022-01-01 18:55, Log: waterLV:661
Time: 2022-01-01 18:55, Log: pumped
Time: 2022-01-01 19:00, Log: waterLV:658
Time: 2022-01-01 19:00, Log: pumped
Time: 2022-01-01 19:05, Log: waterLV:660
Time: 2022-01-01 19:05, Log: pumped
Time: 2022-01-01 19:10, Log: waterLV:658
Time: 2022-01-01 19:10, Log: pumped
Time: 2022-01-01 19:15, Log: waterLV:661
Time: 2022-01-01 19:15, Log: pumped
Time: 2022-01-01 19:20, Log: waterLV:660
Time: 2022-01-01 19:20, Log: pumped
Time: 2022-01-01 19:25, Log: waterLV:665
Time: 2022-01-01 19:25, Log: pumped
Time: 2022-01-01 19:30, Log: waterLV:659
Time: 2022-01-01 19:30, Log: pumped
Time: 2022-01-01 19:35, Log: waterLV:667
Time: 2022-01-01 19:35, Log: pumped
Time: 2022-01-01 19:40, Log: waterLV:666
Time: 2022-01-01 19:40, Log: pumped
Time: 2022-01-01 19:45, Log: waterLV:661
Time: 2022-01-01 19:45, Log: pumped
Time: 2022-01-01 19:50, Log: waterLV:662
Time: 2022-01-01 19:50, Log: pumped
Time: 2022-01-01 19:55, Log: waterLV:661
Time: 2022-01-01 19:55, Log: pumped
Time: 2022-01-01 20:00, Log: waterLV:662
Time: 2022-01-01 20:00, Log: pumped
Time: 2022-01-01 20:05, Log: waterLV:667
Time: 2022-01-01 20:05, Log: pumped
Time: 2022-01-01 20:10, Log: waterLV:667
Time: 2022-01-01 20:10, Log: pumped
Time: 2022-01-01 20:15, Log: waterLV:663
Time: 2022-01-01 20:15, Log: pumped
Time: 2022-01-01 20:20, Log: waterLV:667
Time: 2022-01-01 20:20, Log: pumped
Time: 2022-01-01 20:25, Log: waterLV:667
Time: 2022-01-01 20:25, Log: pumped
Time: 2022-01-01 20:30, Log: waterLV:661
Time: 2022-01-01 20:30, Log: pumped
Time: 2022-01-01 20:35, Log: waterLV:665
Time: 2022-01-01 20:35, Log: pumped
Time: 2022-01-01 20:40, Log: waterLV:661
Time: 2022-01-01 20:40, Log: pumped
Time: 2022-01-01 20:45, Log: waterLV:662
Time: 2022-01-01 20:45, Log: pumped
Time: 2022-01-01 20:50, Log: waterLV:665
Time: 2022-01-01 20:50, Log: pumped
Time: 2022-01-01 20:55, Log: waterLV:664
Time: 2022-01-01 20:55, Log: pumped
Time: 2022-01-01 21:00, Log: waterLV:665
Time: 2022-01-01 21:00, Log: pumped
Time: 2022-01-01 21:05, Log: waterLV:662
Time: 2022-01-01 21:05, Log: pumped
Time: 2022-01-01 21:10, Log: waterLV:666
Time: 2022-01-01 21:10, Log: pumped
Time: 2022-01-01 21:15, Log: waterLV:662
Time: 2022-01-01 21:15, Log: pumped
Time: 2022-01-01 21:20, Log: waterLV:663
Time: 2022-01-01 21:20, Log: pumped
Time: 2022-01-01 21:25, Log: waterLV:666
Time: 2022-01-01 21:25, Log: pumped
Time: 2022-01-01 21:30, Log: waterLV:663
Time: 2022-01-01 21:30, Log: pumped
Time: 2022-01-01 21:35, Log: waterLV:667
Time: 2022-01-01 21:35, Log: pumped
Time: 2022-01-01 21:40, Log: waterLV:663
Time: 2022-01-01 21:40, Log: pumped
Time: 2022-01-01 21:45, Log: waterLV:667
Time: 2022-01-01 21:45, Log: pumped
Time: 2022-01-01 21:50, Log: waterLV:665
Time: 2022-01-01 21:50, Log: pumped
Time: 2022-01-01 21:55, Log: waterLV:668
Time: 2022-01-01 21:55, Log: pumped
Time: 2022-01-01 22:00, Log: waterLV:661
Time: 2022-01-01 22:00, Log: pumped
Time: 2022-01-01 22:05, Log: waterLV:663
Time: 2022-01-01 22:05, Log: pumped
Time: 2022-01-01 22:10, Log: waterLV:668
Time: 2022-01-01 22:10, Log: pumped
Time: 2022-01-01 22:15, Log: waterLV:663
Time: 2022-01-01 22:15, Log: pumped
Time: 2022-01-01 22:20, Log: waterLV:661
Time: 2022-01-01 22:20, Log: pumped
Time: 2022-01-01 22:25, Log: waterLV:661
Time: 2022-01-01 22:25, Log: pumped
Time: 2022-01-01 22:30, Log: waterLV:661
Time: 2022-01-01 22:30, Log: pumped
Time: 2022-01-01 22:35, Log: waterLV:660
Time: 2022-01-01 22:35, Log: pumped
Time: 2022-01-01 22:40, Log: waterLV:659
Time: 2022-01-01 22:40, Log: pumped
Time: 2022-01-01 22:45, Log: waterLV:663
Time: 2022-01-01 22:45, Log: pumped
Time: 2022-01-01 22:50, Log: waterLV:662
Time: 2022-01-01 22:50, Log: pumped
Time: 2022-01-01 22:55, Log: waterLV:661
Time: 2022-01-01 22:55, Log: pumped
Time: 2022-01-01 23:00, Log: waterLV:662
Time: 2022-01-01 23:00, Log: pumped
Time: 2022-01-01 23:05, Log: waterLV:662
Time: 2022-01-01 23:05, Log: pumped
Time: 2022-01-01 23:10, Log: waterLV:666
Time: 2022-01-01 23:10, Log: pumped
Time: 2022-01-01 23:15, Log: waterLV:661
Time: 2022-01-01 23:15, Log: pumped
Time: 2022-01-01 23:20, Log: waterLV:664
Time: 2022-01-01 23:20, Log: pumped
Time: 2022-01-01 23:25, Log: waterLV:664
Time: 2022-01-01 23:25, Log: pumped
Time: 2022-01-01 23:30, Log: waterLV:665
Time: 2022-01-01 23:30, Log: pumped
Time: 2022-01-01 23:35, Log: waterLV:661
Time: 2022-01-01 23:35, Log: pumped
Time: 2022-01-01 23:40, Log: waterLV:662
Time: 2022-01-01 23:40, Log: pumped
Time: 2022-01-01 23:45, Log: waterLV:665
Time: 2022-01-01 23:45, Log: pumped
Time: 2022-01-01 23:50, Log: waterLV:663
Time: 2022-01-01 23:50, Log: pumped
Time: 2022-01-01 23:55, Log: waterLV:665
Time: 2022-01-01 23:55, Log: pumped
Time: 2022-01-02 00:00, Log: waterLV:663
Time: 2022-01-02 00:00, Log: pumped
Time: 2022-01-02 00:05, Log: waterLV:666
Time: 2022-01-02 00:05, Log: pumped
Time: 2022-01-02 00:10, Log: waterLV:658
Time: 2022-01-02 00:10, Log: pumped
Time: 2022-01-02 00:15, Log: waterLV:659
Time: 2022-01-02 00:15, Log: pumped
Time: 2022-01-02 00:20, Log: waterLV:657
Time: 2022-01-02 00:20, Log: pumped
Time: 2022-01-02 00:25, Log: waterLV:662
Time: 2022-01-02 00:25, Log: pumped
Time: 2022-01-02 00:30, Log: waterLV:659
Time: 2022-01-02 00:30, Log: pumped
Time: 2022-01-02 00:35, Log: waterLV:663
Time: 2022-01-02 00:35, Log: pumped
Time: 2022-01-02 00:40, Log: waterLV:657
Time: 2022-01-02 00:40, Log: pumped
Time: 2022-01-02 00:45, Log: waterLV:663
Time: 2022-01-02 00:45, Log: pumped
Time: 2022-01-02 00:50, Log: waterLV:656
Time: 2022-01-02 00:50, Log: pumped
Time: 2022-01-02 00:55, Log: waterLV:662
Time: 2022-01-02 00:55, Log: pumped
Time: 2022-01-02 01:00, Log: waterLV:666
Time: 2022-01-02 01:00, Log: pumped
Time: 2022-01-02 01:05, Log: waterLV:665
Time: 2022-01-02 01:05, Log: pumped
Time: 2022-01-02 01:10, Log: waterLV:661
Time: 2022-01-02 01:10, Log: pumped
Time: 2022-01-02 01:15, Log: waterLV:662
Time: 2022-01-02 01:15, Log: pumped
Time: 2022-01-02 01:20, Log: waterLV:666
Time: 2022-01-02 01:20, Log: pumped
Time: 2022-01-02 01:25, Log: waterLV:668
Time: 2022-01-02 01:25, Log: pumped
Time: 2022-01-02 01:30, Log: waterLV:662
Time: 2022-01-02 01:30, Log: pumped
Time: 2022-01-02 01:35, Log: waterLV:665
Time: 2022-01-02 01:35, Log: pumped
Time: 2022-01-02 01:40, Log: waterLV:660
Time: 2022-01-02 01:40, Log: pumped
Time: 2022-01-02 01:45, Log: waterLV:667
Time: 2022-01-02 01:45, Log: pumped
Time: 2022-01-02 01:50, Log: waterLV:660
Time: 2022-01-02 01:50, Log: pumped
Time: 2022-01-02 01:55, Log: waterLV:662
Time: 2022-01-02 01:55, Log: pumped
Time: 2022-01-02 02:00, Log: waterLV:666
Time: 2022-01-02 02:00, Log: pumped
Time: 2022-01-02 02:05, Log: waterLV:665
Time: 2022-01-02 02:05, Log: pumped
Time: 2022-01-02 02:10, Log: waterLV:658
Time: 2022-01-02 02:10, Log: pumped
Time: 2022-01-02 02:15, Log: waterLV:666
Time: 2022-01-02 02:15, Log: pumped
Time: 2022-01-02 02:20, Log: waterLV:665
Time: 2022-01-02 02:20, Log: pumped
Time: 2022-01-02 02:25, Log: waterLV:659
Time: 2022-01-02 02:25, Log: pumped
Time: 2022-01-02 02:30, Log: waterLV:661
Time: 2022-01-02 02:30, Log: pumped
Time: 2022-01-02 02:35, Log: waterLV:657
Time: 2022-01-02 02:35, Log: pumped
Time: 2022-01-02 02:40, Log: waterLV:658
Time: 2022-01-02 02:40, Log: pumped
Time: 2022-01-02 02:45, Log: waterLV:658
Time: 2022-01-02 02:45, Log: pumped
Time: 2022-01-02 02:50, Log: waterLV:659
Time: 2022-01-02 02:50, Log: pumped
Time: 2022-01-02 02:55, Log: waterLV:663
Time: 2022-01-02 02:55, Log: pumped
Time: 2022-01-02 03:00, Log: waterLV:661
Time: 2022-01-02 03:00, Log: pumped
Time: 2022-01-02 03:05, Log: waterLV:658
Time: 2022-01-02 03:05, Log: pumped
Time: 2022-01-02 03:10, Log: waterLV:652
Time: 2022-01-02 03:10, Log: pumped
Time: 2022-01-02 03:15, Log: waterLV:653
Time: 2022-01-02 03:15, Log: pumped
Time: 2022-01-02 03:20, Log: waterLV:659
Time: 2022-01-02 03:20, Log: pumped
Time: 2022-01-02 03:25, Log: waterLV:659
Time: 2022-01-02 03:25, Log: pumped
Time: 2022-01-02 03:30, Log: waterLV:654
Time: 2022-01-02 03:30, Log: pumped
Time: 2022-01-02 03:35, Log: waterLV:659
Time: 2022-01-02 03:35, Log: pumped
Time: 2022-01-02 03:40, Log: waterLV:654
Time: 2022-01-02 03:40, Log: pumped
Time: 2022-01-02 03:45, Log: waterLV:654
Time: 2022-01-02 03:45, Log: pumped
Time: 2022-01-02 03:50, Log: waterLV:660
Time: 2022-01-02 03:50, Log: pumped
Time: 2022-01-02 03:55, Log: waterLV:658
Time: 2022-01-02 03:55, Log: pumped
Time: 2022-01-02 04:00, Log: waterLV:661
Time: 2022-01-02 04:00, Log: pumped
Time: 2022-01-02 04:05, Log: waterLV:657
Time: 2022-01-02 04:05, Log: pumped
Time: 2022-01-02 04:10, Log: waterLV:660
Time: 2022-01-02 04:10, Log: pumped
Time: 2022-01-02 04:15, Log: waterLV:655
Time: 2022-01-02 04:15, Log: pumped
Time: 2022-01-02 04:20, Log: waterLV:656
Time: 2022-01-02 04:20, Log: pumped
Time: 2022-01-02 04:25, Log: waterLV:660
Time: 2022-01-02 04:25, Log: pumped
Time: 2022-01-02 04:30, Log: waterLV:656
Time: 2022-01-02 04:30, Log: pumped
Time: 2022-01-02 04:35, Log: waterLV:653
Time: 2022-01-02 04:35, Log: pumped
Time: 2022-01-02 04:40, Log: waterLV:653
Time: 2022-01-02 04:40, Log: pumped
Time: 2022-01-02 04:45, Log: waterLV:654
Time: 2022-01-02 04:45, Log: pumped
Time: 2022-01-02 04:50, Log: waterLV:653
Time: 2022-01-02 04:50, Log: pumped
Time: 2022-01-02 04:55, Log: waterLV:654
Time: 2022-01-02 04:55, Log: pumped
Time: 2022-01-02 05:00, Log: waterLV:659
Time: 2022-01-02 05:00, Log: pumped
Time: 2022-01-02 05:05, Log: waterLV:658
Time: 2022-01-02 05:05, Log: pumped
Time: 2022-01-02 05:10, Log: waterLV:654
Time: 2022-01-02 05:10, Log: pumped
Time: 2022-01-02 05:15, Log: waterLV:659
Time: 2022-01-02 05:15, Log: pumped
Time: 2022-01-02 05:20, Log: waterLV:658
Time: 2022-01-02 05:20, Log: pumped
Time: 2022-01-02 05:25, Log: waterLV:653
Time: 2022-01-02 05:25, Log: pumped
Time: 2022-01-02 05:30, Log: waterLV:658
Time: 2022-01-02 05:30, Log: pumped
Time: 2022-01-02 05:35, Log: waterLV:659
Time: 2022-01-02 05:35, Log: pumped
Time: 2022-01-02 05:40, Log: waterLV:658
Time: 2022-01-02 05:40, Log: pumped
Time: 2022-01-02 05:45, Log: waterLV:659
Time: 2022-01-02 05:45, Log: pumped
Time: 2022-01-02 05:50, Log: waterLV:654
Time: 2022-01-02 05:50, Log: pumped
Time: 2022-01-02 05:55, Log: waterLV:657
Time: 2022-01-02 05:55, Log: pumped
Time: 2022-01-02 06:00, Log: waterLV:652
Time: 2022-01-02 06:00, Log: pumped
Time: 2022-01-02 06:05, Log: waterLV:652
Time: 2022-01-02 06:05, Log: pumped
Time: 2022-01-02 06:10, Log: waterLV:656
Time: 2022-01-02 06:10, Log: pumped
Time: 2022-01-02 06:15, Log: waterLV:656
Time: 2022-01-02 06:15, Log: pumped
Time: 2022-01-02 06:20, Log: waterLV:655
Time: 2022-01-02 06:20, Log: pumped
Time: 2022-01-02 06:25, Log: waterLV:657
Time: 2022-01-02 06:25, Log: pumped
Time: 2022-01-02 06:30, Log: waterLV:654
Time: 2022-01-02 06:30, Log: pumped
Time: 2022-01-02 06:35, Log: waterLV:653
Time: 2022-01-02 06:35, Log: pumped
Time: 2022-01-02 06:40, Log: waterLV:658
Time: 2022-01-02 06:40, Log: pumped
Time: 2022-01-02 06:45, Log: waterLV:651
Time: 2022-01-02 06:45, Log: pumped
Time: 2022-01-02 06:50, Log: waterLV:653
Time: 2022-01-02 06:50, Log: pumped
Time: 2022-01-02 06:55, Log: waterLV:651
Time: 2022-01-02 06:55, Log: pumped
Time: 2022-01-02 07:00, Log: waterLV:652
Time: 2022-01-02 07:00, Log: pumped
Time: 2022-01-02 07:05, Log: waterLV:645
Time: 2022-01-02 07:05, Log: pumped
Time: 2022-01-02 07:10, Log: waterLV:653
Time: 2022-01-02 07:10, Log: pumped
Time: 2022-01-02 07:15, Log: waterLV:652
Time: 2022-01-02 07:15, Log: pumped
Time: 2022-01-02 07:20, Log: waterLV:643
Time: 2022-01-02 07:20, Log: pumped
Time: 2022-01-02 07:25, Log: waterLV:650
Time: 2022-01-02 07:25, Log: pumped
Time: 2022-01-02 07:30, Log: waterLV:650
Time: 2022-01-02 07:30, Log: pumped
Time: 2022-01-02 07:35, Log: waterLV:648
Time: 2022-01-02 07:35, Log: pumped
Time: 2022-01-02 07:40, Log: waterLV:645
Time: 2022-01-02 07:40, Log: pumped
Time: 2022-01-02 07:45, Log: waterLV:644
Time: 2022-01-02 07:45, Log: pumped
Time: 2022-01-02 07:50, Log: waterLV:649
Time: 2022-01-02 07:50, Log: pumped
Time: 2022-01-02 07:55, Log: waterLV:645
Time: 2022-01-02 07:55, Log: pumped
Time: 2022-01-02 08:00, Log: waterLV:651
Time: 2022-01-02 08:00, Log: pumped
Time: 2022-01-02 08:05, Log: waterLV:651
Time: 2022-01-02 08:05, Log: pumped
Time: 2022-01-02 08:10, Log: waterLV:652
Time: 2022-01-02 08:10, Log: pumped
Time: 2022-01-02 08:15, Log: waterLV:647
Time: 2022-01-02 08:15, Log: pumped
Time: 2022-01-02 08:20, Log: waterLV:651
Time: 2022-01-02 08:20, Log: pumped
Time: 2022-01-02 08:25, Log: waterLV:644
Time: 2022-01-02 08:25, Log: pumped
Time: 2022-01-02 08:30, Log: waterLV:641
Time: 2022-01-02 08:30, Log: pumped
Time: 2022-01-02 08:35, Log: waterLV:640
Time: 2022-01-02 08:35, Log: pumped
Time: 2022-01-02 08:40, Log: waterLV:640
Time: 2022-01-02 08:40, Log: pumped
Time: 2022-01-02 08:45, Log: waterLV:642
Time: 2022-01-02 08:45, Log: pumped
Time: 2022-01-02 08:50, Log: waterLV:641
Time: 2022-01-02 08:50, Log: pumped
Time: 2022-01-02 08:55, Log: waterLV:648
Time: 2022-01-02 08:55, Log: pumped
Time: 2022-01-02 09:00, Log: waterLV:644
Time: 2022-01-02 09:00, Log: pumped
Time: 2022-01-02 09:05, Log: waterLV:643
Time: 2022-01-02 09:05, Log: pumped
Time: 2022-01-02 09:10, Log: waterLV:643
Time: 2022-01-02 09:10, Log: pumped
Time: 2022-01-02 09:15, Log: waterLV:643
Time: 2022-01-02 09:15, Log: pumped
Time: 2022-01-02 09:20, Log: waterLV:643
Time: 2022-01-02 09:20, Log: pumped
Time: 2022-01-02 09:25, Log: waterLV:643
Time: 2022-01-02 09:25, Log: pumped
Time: 2022-01-02 09:30, Log: waterLV:646
Time: 2022-01-02 09:30, Log: pumped
Time: 2022-01-02 09:35, Log: waterLV:642
Time: 2022-01-02 09:35, Log: pumped
Time: 2022-01-02 09:40, Log: waterLV:643
Time: 2022-01-02 09:40, Log: pumped
Time: 2022-01-02 09:45, Log: waterLV:647
Time: 2022-01-02 09:45, Log: pumped
Time: 2022-01-02 09:50, Log: waterLV:727
Time: 2022-01-02 09:50, Log: pumped
Time: 2022-01-02 09:55, Log: waterLV:712
Time: 2022-01-02 09:55, Log: pumped
Time: 2022-01-02 10:00, Log: waterLV:692
Time: 2022-01-02 10:00, Log: pumped
Time: 2022-01-02 10:05, Log: waterLV:681
Time: 2022-01-02 10:05, Log: pumped
Time: 2022-01-02 10:10, Log: waterLV:662
Time: 2022-01-02 10:10, Log: pumped
Time: 2022-01-02 10:15, Log: waterLV:679
Time: 2022-01-02 10:15, Log: pumped
Time: 2022-01-02 10:20, Log: waterLV:685
Time: 2022-01-02 10:20, Log: pumped
Time: 2022-01-02 10:25, Log: waterLV:644
Time: 2022-01-02 10:25, Log: pumped
Time: 2022-01-02 10:30, Log: waterLV:651
Time: 2022-01-02 10:30, Log: pumped
Time: 2022-01-02 10:35, Log: waterLV:643
Time: 2022-01-02 10:35, Log: pumped
Time: 2022-01-02 10:40, Log: waterLV:645
Time: 2022-01-02 10:40, Log: pumped
Time: 2022-01-02 10:45, Log: waterLV:649
Time: 2022-01-02 10:45, Log: pumped
Time: 2022-01-02 10:50, Log: waterLV:640
Time: 2022-01-02 10:50, Log: pumped
Time: 2022-01-02 10:55, Log: waterLV:628
Time: 2022-01-02 10:55, Log: pumped
Time: 2022-01-02 11:00, Log: waterLV:637
Time: 2022-01-02 11:00, Log: pumped
Time: 2022-01-02 11:05, Log: waterLV:634
Time: 2022-01-02 11:05, Log: pumped
Time: 2022-01-02 11:10, Log: waterLV:632
Time: 2022-01-02 11:10, Log: pumped
Time: 2022-01-02 11:15, Log: waterLV:630
Time: 2022-01-02 11:15, Log: pumped
Time: 2022-01-02 11:20, Log: waterLV:641
Time: 2022-01-02 11:20, Log: pumped
Time: 2022-01-02 11:25, Log: waterLV:634
Time: 2022-01-02 11:25, Log: pumped
Time: 2022-01-02 11:30, Log: waterLV:636
Time: 2022-01-02 11:30, Log: pumped
Time: 2022-01-02 11:35, Log: waterLV:637
Time: 2022-01-02 11:35, Log: pumped
Time: 2022-01-02 11:40, Log: waterLV:638
Time: 2022-01-02 11:40, Log: pumped
Time: 2022-01-02 11:45, Log: waterLV:639
Time: 2022-01-02 11:45, Log: pumped
Time: 2022-01-02 11:50, Log: waterLV:634
Time: 2022-01-02 11:50, Log: pumped
Time: 2022-01-02 11:55, Log: waterLV:636
Time: 2022-01-02 11:55, Log: pumped
Time: 2022-01-02 12:00, Log: waterLV:635
Time: 2022-01-02 12:00, Log: pumped
Time: 2022-01-02 12:05, Log: waterLV:628
Time: 2022-01-02 12:05, Log: pumped
Time: 2022-01-02 12:10, Log: waterLV:625
Time: 2022-01-02 12:10, Log: pumped
Time: 2022-01-02 12:15, Log: waterLV:638
Time: 2022-01-02 12:15, Log: pumped
Time: 2022-01-02 12:20, Log: waterLV:637
Time: 2022-01-02 12:20, Log: pumped
Time: 2022-01-02 12:25, Log: waterLV:639
Time: 2022-01-02 12:25, Log: pumped
Time: 2022-01-02 12:30, Log: waterLV:650
Time: 2022-01-02 12:30, Log: pumped
Time: 2022-01-02 12:35, Log: waterLV:656
Time: 2022-01-02 12:35, Log: pumped
Time: 2022-01-02 12:40, Log: waterLV:646
Time: 2022-01-02 12:40, Log: pumped
Time: 2022-01-02 12:45, Log: waterLV:649
Time: 2022-01-02 12:45, Log: pumped
Time: 2022-01-02 12:50, Log: waterLV:645
Time: 2022-01-02 12:50, Log: pumped
Time: 2022-01-02 12:55, Log: waterLV:656
Time: 2022-01-02 12:55, Log: pumped
Time: 2022-01-02 13:00, Log: waterLV:656
Time: 2022-01-02 13:00, Log: pumped
Time: 2022-01-02 13:05, Log: waterLV:648
Time: 2022-01-02 13:05, Log: pumped
Time: 2022-01-02 13:10, Log: waterLV:654
Time: 2022-01-02 13:10, Log: pumped
Time: 2022-01-02 13:15, Log: waterLV:657
Time: 2022-01-02 13:15, Log: pumped
Time: 2022-01-02 13:20, Log: waterLV:652
Time: 2022-01-02 13:20, Log: pumped
Time: 2022-01-02 13:25, Log: waterLV:647
Time: 2022-01-02 13:25, Log: pumped
Time: 2022-01-02 13:30, Log: waterLV:650
Time: 2022-01-02 13:30, Log: pumped
Time: 2022-01-02 13:35, Log: waterLV:645
Time: 2022-01-02 13:35, Log: pumped
Time: 2022-01-02 13:40, Log: waterLV:637
Time: 2022-01-02 13:40, Log: pumped
Time: 2022-01-02 13:45, Log: waterLV:642
Time: 2022-01-02 13:45, Log: pumped
Time: 2022-01-02 13:50, Log: waterLV:649
Time: 2022-01-02 13:50, Log: pumped
Time: 2022-01-02 13:55, Log: waterLV:653
Time: 2022-01-02 13:55, Log: pumped
Time: 2022-01-02 14:00, Log: waterLV:656
Time: 2022-01-02 14:00, Log: pumped
Time: 2022-01-02 14:05, Log: waterLV:650
Time: 2022-01-02 14:05, Log: pumped
Time: 2022-01-02 14:10, Log: waterLV:657
Time: 2022-01-02 14:10, Log: pumped
Time: 2022-01-02 14:15, Log: waterLV:656
Time: 2022-01-02 14:15, Log: pumped
Time: 2022-01-02 14:20, Log: waterLV:656
Time: 2022-01-02 14:20, Log: pumped
Time: 2022-01-02 14:25, Log: waterLV:655
Time: 2022-01-02 14:25, Log: pumped
Time: 2022-01-02 14:30, Log: waterLV:648
Time: 2022-01-02 14:30, Log: pumped
Time: 2022-01-02 14:35, Log: waterLV:649
Time: 2022-01-02 14:35, Log: pumped
Time: 2022-01-02 14:40, Log: waterLV:654
Time: 2022-01-02 14:40, Log: pumped
Time: 2022-01-02 14:45, Log: waterLV:652
Time: 2022-01-02 14:45, Log: pumped
Time: 2022-01-02 14:50, Log: waterLV:655
Time: 2022-01-02 14:50, Log: pumped
Time: 2022-01-02 14:55, Log: waterLV:649
Time: 2022-01-02 14:55, Log: pumped
Time: 2022-01-02 15:00, Log: waterLV:650
Time: 2022-01-02 15:00, Log: pumped
Time: 2022-01-02 15:05, Log: waterLV:655
Time: 2022-01-02 15:05, Log: pumped
Time: 2022-01-02 15:10, Log: waterLV:649
Time: 2022-01-02 15:10, Log: pumped
Time: 2022-01-02 15:15, Log: waterLV:651
Time: 2022-01-02 15:15, Log: pumped
Time: 2022-01-02 15:20, Log: waterLV:651
Time: 2022-01-02 15:20, Log: pumped
Time: 2022-01-02 15:25, Log: waterLV:649
Time: 2022-01-02 15:25, Log: pumped
Time: 2022-01-02 15:30, Log: waterLV:642
Time: 2022-01-02 15:30, Log: pumped
Time: 2022-01-02 15:35, Log: waterLV:643
Time: 2022-01-02 15:35, Log: pumped
Time: 2022-01-02 15:40, Log: waterLV:647
Time: 2022-01-02 15:40, Log: pumped
Time: 2022-01-02 15:45, Log: waterLV:648
Time: 2022-01-02 15:45, Log: pumped
Time: 2022-01-02 15:50, Log: waterLV:649
Time: 2022-01-02 15:50, Log: pumped
Time: 2022-01-02 15:55, Log: waterLV:656
Time: 2022-01-02 15:55, Log: pumped
Time: 2022-01-02 16:00, Log: waterLV:645
Time: 2022-01-02 16:00, Log: pumped
Time: 2022-01-02 16:05, Log: waterLV:644
Time: 2022-01-02 16:05, Log: pumped
Time: 2022-01-02 16:10, Log: waterLV:646
Time: 2022-01-02 16:10, Log: pumped
Time: 2022-01-02 16:15, Log: waterLV:653
Time: 2022-01-02 16:15, Log: pumped
Time: 2022-01-02 16:20, Log: waterLV:646
Time: 2022-01-02 16:20, Log: pumped
Time: 2022-01-02 16:25, Log: waterLV:643
Time: 2022-01-02 16:25, Log: pumped
Time: 2022-01-02 16:30, Log: waterLV:654
Time: 2022-01-02 16:30, Log: pumped
Time: 2022-01-02 16:35, Log: waterLV:658
Time: 2022-01-02 16:35, Log: pumped
Time: 2022-01-02 16:40, Log: waterLV:675
Time: 2022-01-02 16:40, Log: pumped
Time: 2022-01-02 16:45, Log: waterLV:701
Time: 2022-01-02 16:45, Log: pumped
Time: 2022-01-02 16:50, Log: waterLV:706
Time: 2022-01-02 16:50, Log: pumped
Time: 2022-01-02 16:55, Log: waterLV:704
Time: 2022-01-02 16:55, Log: pumped
Time: 2022-01-02 17:00, Log: waterLV:675
Time: 2022-01-02 17:00, Log: pumped
Time: 2022-01-02 17:05, Log: waterLV:681
Time: 2022-01-02 17:05, Log: pumped
Time: 2022-01-02 17:10, Log: waterLV:691
Time: 2022-01-02 17:10, Log: pumped
Time: 2022-01-02 17:15, Log: waterLV:695
Time: 2022-01-02 17:15, Log: pumped
Time: 2022-01-02 17:20, Log: waterLV:687
Time: 2022-01-02 17:20, Log: pumped
Time: 2022-01-02 17:25, Log: waterLV:686
Time: 2022-01-02 17:25, Log: pumped
Time: 2022-01-02 17:30, Log: waterLV:696
Time: 2022-01-02 17:30, Log: pumped
Time: 2022-01-02 17:35, Log: waterLV:703
Time: 2022-01-02 17:35, Log: pumped
Time: 2022-01-02 17:40, Log: waterLV:676
Time: 2022-01-02 17:40, Log: pumped
Time: 2022-01-02 17:45, Log: waterLV:695
Time: 2022-01-02 17:45, Log: pumped
Time: 2022-01-02 17:50, Log: waterLV:687
Time: 2022-01-02 17:50, Log: pumped
Time: 2022-01-02 17:55, Log: waterLV:693
Time: 2022-01-02 17:55, Log: pumped
Time: 2022-01-02 18:00, Log: waterLV:688
Time: 2022-01-02 18:00, Log: pumped
Time: 2022-01-02 18:05, Log: waterLV:685
Time: 2022-01-02 18:05, Log: pumped
Time: 2022-01-02 18:10, Log: waterLV:683
